Iteration,Alpha
120,"0.19202288993325317,0.18116797053298755,0.1659697446477384,0.15848658688736497,0.15154098932092191,0.15081181867773413"
121,"0.19177587898386145,0.18128834362333315,0.16598970391061652,0.15852296712606678,0.15160193451834475,0.15082117183777743"
122,"0.19223468159696286,0.18138360958983502,0.1660958193153851,0.15829166798574948,0.15137415096122916,0.1506200705508383"
123,"0.19213651852062988,0.1815434118173378,0.16603195493912706,0.1582629502395652,0.15138774286159415,0.1506374216217459"
124,"0.19239649950760906,0.1813999056066366,0.16615738620722637,0.1581289308397559,0.1513512912115636,0.15056598662720846"
125,"0.19283491311361334,0.18186271014634178,0.1659045281365035,0.1579740644733204,0.15108341341654963,0.15034037071367132"
126,"0.19293009119440696,0.18201061531844953,0.16622416716255303,0.1579078814394918,0.15081594448466557,0.15011130040043308"
127,"0.19323218626171493,0.18194877592127603,0.16609694149866663,0.15786556185695466,0.15082207756744334,0.15003445689394435"
128,"0.1934230432001127,0.18191786451046058,0.1660308083843425,0.15788553360447036,0.15076428771857528,0.14997846258203848"
129,"0.19367884741443844,0.18195933151217525,0.16590338422583153,0.15778472496017037,0.1507413206819812,0.14993239120540322"
130,"0.19384851085713217,0.18210458210645245,0.16585483445175472,0.1578221752952549,0.15053376912551403,0.14983612816389166"
131,"0.19437899117738533,0.18211666466893087,0.16568933458833118,0.15775821768323187,0.15032572807842995,0.14973106380369075"
132,"0.19479859771904845,0.1822992565391182,0.16557001184653256,0.1576850689107984,0.15006214504123955,0.14958491994326292"
133,"0.19515974011773105,0.18216867474302706,0.1654551577660318,0.1574284248774862,0.150108693808976,0.14967930868674784"
134,"0.19523775199288995,0.18201088067383184,0.16542725114576662,0.15750771377853176,0.1501555978366771,0.1496608045723027"
135,"0.1957057759361585,0.18213026797420034,0.1653733908954445,0.15734294789312517,0.1499876447878137,0.1494599725132579"
136,"0.19600360435504988,0.18203862667280185,0.16516195353615723,0.1573102596693001,0.1500088096074045,0.14947674615928644"
137,"0.19636432259317238,0.18211491655122355,0.16519088425665673,0.15733153783635004,0.14976972819344297,0.14922861056915443"
138,"0.19617086778494489,0.18205737272396427,0.1649689705326658,0.15745445652087334,0.14997157962853888,0.14937675280901294"
139,"0.1963308831026552,0.18202741521183208,0.16481078187743134,0.15744587228296092,0.15000544549463476,0.14937960203048567"
140,"0.19673091561903056,0.18239753951131812,0.16515400518148154,0.15715292753450383,0.14959213452996406,0.1489724776237018"
141,"0.19715216337084113,0.18250263982956394,0.16493140254138386,0.15707661085937683,0.1494348346145283,0.148902348784306"
142,"0.1975305351938027,0.1830540892906361,0.16489634543600404,0.15686068145412987,0.14913921563393634,0.14851913299149092"
143,"0.19776803194183615,0.18325284253995433,0.1649688602787435,0.15664497492928856,0.14904142969684447,0.14832386061333303"
144,"0.19768854966291094,0.18297451835407505,0.16486998587050922,0.15669395535047884,0.14924352377435987,0.14852946698766614"
145,"0.19784148701039395,0.18306443732087815,0.16503944688667438,0.15658907991666032,0.14909712809938683,0.14836842076600634"
146,"0.1979483010047634,0.1829909830928605,0.1650665710601702,0.15666001791685386,0.14904427997748376,0.14828984694786831"
147,"0.1978263671436798,0.18305701173309824,0.16493468291263083,0.15680182592903552,0.14914101745146893,0.14823909483008674"
148,"0.1982238210058272,0.18320023598805707,0.16480541814339597,0.15671206471567545,0.1490067101484375,0.14805174999860674"
149,"0.198168197724534,0.18341347815967418,0.1649494302584197,0.15672470738663202,0.14877121633546966,0.14797297013527033"
150,"0.19838040483889977,0.18362808057202695,0.16490274922054105,0.15649936219432672,0.1486338468864424,0.1479555562877632"
151,"0.1985886710430356,0.18368472556095322,0.16502056189914646,0.15635940331444198,0.14845460584778322,0.14789203233463954"
152,"0.19888601294942013,0.18372098795392705,0.16482664089630014,0.15614896853685964,0.1484070505600851,0.14801033910340797"
153,"0.19905423258350508,0.18383155328965936,0.16495292300137698,0.15597781848190664,0.14817848740615325,0.14800498523739866"
154,"0.19939518104469423,0.18386135405482446,0.16487391880552005,0.15589848041323068,0.14808735854401578,0.14788370713771487"
155,"0.19933895007032068,0.1837917542720312,0.16495763979535877,0.15581549418828067,0.14803969558886435,0.14805646608514436"
156,"0.1998867971185202,0.18413024356634183,0.1648857148069945,0.1555810266922655,0.14776755409600598,0.14774866371987208"
157,"0.20021107516461156,0.184528087812235,0.16493935808573912,0.1555094701600501,0.14745835384453018,0.14735365493283403"
158,"0.20038272325311074,0.1846251330466702,0.16495216079577868,0.15551471303742812,0.14739586099157978,0.1471294088754323"
159,"0.200161627146912,0.18441598906134468,0.1649125884051086,0.15544512981521832,0.14757620843108463,0.14748845714033168"
160,"0.20051158655071233,0.18486802627418225,0.16481960921676342,0.15542455791116377,0.14732974651076544,0.14704647353641284"
161,"0.2008271642301445,0.185000180452879,0.16476362414531268,0.15538162647423842,0.14724739305568718,0.14678001164173812"
162,"0.20067546707322986,0.18495476842174924,0.16496159481510614,0.15547051311150742,0.14731044278640334,0.14662721379200402"
163,"0.2006485166758497,0.1844809697268292,0.16490374896799545,0.15557721736747782,0.14750201390668793,0.14688753335515992"
164,"0.20132211994220206,0.1846809050790402,0.16468956300371757,0.15535376004515147,0.1472746051771757,0.1466790467527131"
165,"0.20103804476806747,0.18470117219974824,0.16475856155405275,0.15536323204030525,0.14739840228371742,0.1467405871541089"
166,"0.20145472890630672,0.18495699543558428,0.16490057447003523,0.15533999291341113,0.14699151624345375,0.14635619203120895"
167,"0.20162084131551117,0.18518609297856373,0.16525342736403967,0.15529406835957282,0.14654047576782953,0.14610509421448306"
168,"0.20231787843835528,0.1853852252648972,0.16512173223095297,0.15503332921662524,0.14629572819823689,0.14584610665093223"
169,"0.20178376566450207,0.1851842940751863,0.16505332860968486,0.1552175582139832,0.146641124906247,0.14611992853039643"
